Year,Official Code State,Official Name State,Official Code Local Government Area,Official Name Local Government Area,Iso 3166-3 Area Code,Type,Long Official Name Local Government Area
2021,5,Western Australia,51080,Broomehill-Tambellup,AUS,local government area,Broomehill-Tambellup
2021,5,Western Australia,51890,Collie,AUS,local government area,Collie
2021,5,Western Australia,52940,Dowerin,AUS,local government area,Dowerin
2021,5,Western Australia,59320,Woodanilling,AUS,local government area,Woodanilling
2021,5,Western Australia,52170,Cottesloe,AUS,local government area,Cottesloe
2021,5,Western Australia,53710,Goomalling,AUS,local government area,Goomalling
2021,5,Western Australia,50910,Brookton,AUS,local government area,Brookton
2021,5,Western Australia,51820,Cockburn,AUS,local government area,Cockburn
2021,5,Western Australia,57980,Subiaco,AUS,local government area,Subiaco
2021,5,Western Australia,50350,Bassendean,AUS,local government area,Bassendean
2021,5,Western Australia,52030,Coorow,AUS,local government area,Coorow
2021,5,Western Australia,52730,Denmark,AUS,local government area,Denmark
2021,5,Western Australia,53990,Harvey,AUS,local government area,Harvey
2021,5,Western Australia,55180,Manjimup,AUS,local government area,Manjimup
2021,5,Western Australia,55530,Mingenew,AUS,local government area,Mingenew
2021,5,Western Australia,55810,Mount Magnet,AUS,local government area,Mount Magnet
2021,5,Western Australia,50280,Augusta Margaret River,AUS,local government area,Augusta Margaret River
2021,5,Western Australia,52870,Donnybrook-Balingup,AUS,local government area,Donnybrook-Balingup
2021,5,Western Australia,53800,Greater Geraldton,AUS,local government area,Greater Geraldton
2021,5,Western Australia,54550,Kojonup,AUS,local government area,Kojonup
2021,5,Western Australia,55040,Leonora,AUS,local government area,Leonora
2021,5,Western Australia,55460,Merredin,AUS,local government area,Merredin
2021,5,Western Australia,56580,Nedlands,AUS,local government area,Nedlands
2021,5,Western Australia,58470,Upper Gascoyne,AUS,local government area,Upper Gascoyne
2021,5,Western Australia,50420,Bayswater,AUS,local government area,Bayswater
2021,5,Western Australia,51190,Bunbury,AUS,local government area,Bunbury
2021,5,Western Australia,54170,Joondalup,AUS,local government area,Joondalup
2021,5,Western Australia,57350,Quairading,AUS,local government area,Quairading
